utterance,signature
154 1983 1457 188,539_1058_1812_1381
829 463 799 1954,1505_649_263_1032
29 1986 637 505,1911_235_1001_1964
368 1772 1195 1794,1427_308_1987_1979
265 1423 627 648 453,1571_959_1034_1048_769
93 1434 82,194_365_1011
896 1097 835,85_266_1830
1852 1283 1669 1185 315 398,177_630_536_262_208_117
1605 380 48 1746,234_496_984_849
229 708 1 1272 1916,1429_174_295_426_265
685 172 56,336_870_36
883 215 680,1765_67_1193
205 257 400,1089_905_1626
694 608 114,1344_258_110
1028 1735 368 1794 1772,1427_308_1987_1979_179
995 1303 1007,431_1905_1634
1284 1023 528 875,290_274_1434_632
969 84 237 1957 350,1010_55_193_239_316
1912 992 33,1147_236_355
1696 18 881,1540_310_775
20 1173 548 249,975_342_791_1740
1674 219 2 1627,514_152_327_591
280 98 445,1177_2_527
1373 857 984,302_1411_969
875 1023 528 1284,290_274_1434_632
292 416 807,925_573_28
594 482 1493,715_140_971
899 744 1023,1033_589_632
759 423 335,1620_908_1085
660 1398 884 1634,1679_276_54_534
1962 1251 252,1369_458_1957
1226 1952 535 1927 1295 123,644_251_459_462_321_881
1379 1092 203,93_1016_897
788 1724 436 244,1659_518_213_836
653 529 190,1418_1736_280
1338 1045 1010 412,805_79_1045_219
1168 605 353,957_541_652
307 1818 1015 22 551 321,1037_515_272_1601_165_641
20 1173 553 249,975_342_791_1740
465 171 696 148,962_1397_38_1469
218 1773 310 754 1481,825_867_1527_221_863
947 969 1422,1674_516_239
1898 1473 136,1817_279_1143
388 355 779,517_1797_145
7 68 1105,1197_1169_1410
480 25 1946,1041_612_216
1986 505 29 637,1911_235_1001_1964
1514 1404 1183 1687 1072,1825_1393_1936_1155_954
497 1187 384,1612_226_651
266 658 63 393 316 340,396_1860_284_1379_512_1990
1850 211 67 273,628_6_1718_434
79 917 804 1862,1102_780_495_571
1338 656 1045,79_1045_219
157 699 1307 345,760_1021_1328_711
384 497 1187,1612_226_651
969 84 350 1957,1010_55_193_239
577 8 955 239 978,1631_748_909_758_1556
430 38 332,1419_1675_1821
1978 252 1962,1369_458_1957
1097 272 896 835 1444,85_207_266_1830_88
367 1109 1697,1780_604_202
1953 1615 835 896 173 97,1925_58_266_1830_390_1994
1493 482 594,715_140_971
250 1638 1525 1186,1231_356_307_20
969 1422 947,1674_516_239
246 649 1124 1916 229,1068_295_426_143_311
196 13 1278,1992_84_315
984 1373 379,302_1411_969
331 1812 1151,721_622_1
319 1826 1770 781,1357_695_1882_1171
744 899 1023,1033_589_632
1625 1300 123,803_459_1047
1307 157 345,760_1021_711
1092 203 1379,93_1016_897
1605 355 388 380 1746 484 779,517_1795_496_984_849_1797_145
417 562 325,485_214_151
62 829 1078 1108 463,1869_649_263_86_107
92 143 1970,1897_437_298
1460 380 388 484,517_1795_496_919
1186 1525 250 1638,1231_356_307_20
899 744 1023,1033_589_632
1889 576 803,1983_268_576
685 56 172,336_870_36
690 522 1604 1578,1928_408_443_76
499 685 172,336_870_36
1948 282 897,124_1399_1439
615 1202 1753,528_499_1167
1120 680 215 883,1765_67_1887_1193
1710 674 1041 1123,1652_797_965_1217
1912 33 992,1147_236_355
384 1187 497,1612_226_651
1057 994 328 302,1603_698_176_493
262 183 751 1998,1294_1486_877_1863
82 1434 93 110,790_194_365_1011
68 7 1105,1197_1169_1410
549 741 1910 891,1352_486_1065_697
412 656 1338 1045,805_79_1045_219
64 492 743 1230,1063_430_548_378
594 1493 482,715_140_971
430 332 169,1419_1675_1821
1953 1615 173,1925_390_1994
779 388 355,517_1797_145
584 1968 1317,1211_150_564
1557 1448 322 1134,442_314_561_1378
757 466 1676,717_918_1985
1983 154 673 1457,539_1058_1812_1381
571 289 9 1854 206,1293_23_35_1019_525
594 482 1493,715_140_971
1275 212 1996,14_362_148
384 497 1187,1612_226_651
282 1948 725,124_1399_1439
437 1286 530,1999_985_78
470 1866 1141,164_198_199
272 1097 1646,85_207_389
1143 869 910 440 1585,1872_1760_1989_1555_1790
1739 391 261,1430_650_718
903 1844 583 496 1329 54,1354_296_92_172_1541_22
473 565 1924,1075_21_1699
371 781 1826 1770,1357_695_1882_1171
710 1571 854 1758,935_69_369_341
147 513 1174,1199_1188_1535
167 1695 519,898_380_558
854 710 1530 1571,935_69_369_341
1682 684 746,620_70_685
237 472 84,1638_55_316
289 571 9 39,23_546_35_1019
1037 1029 663 672 504 118,131_722_224_461_742_720
389 145 929 236,1676_874_1598_141
904 309 1559,175_590_688
59 1764 932 1236 77,692_886_1537_1861_367
669 976 631,812_1191_1639
826 1510 4 818,1355_993_569_970
1989 1490 225,1663_87_777
89 512 221 1014,1641_1198_1036_1600
155 1318 545 846,1728_1852_317_305
1541 556 256 1372,1377_285_535_363
25 480 1946,1041_612_216
848 1841 306,522_59_297
345 1307 157,760_1021_711
1674 31 1765 2 347,1353_64_152_591_324
480 1946 25,1041_612_216
657 269 1802 1607,1289_774_1948_979
355 388 779,517_1797_145
1945 81 1099,73_1338_1611
29 637 505 1986,1911_235_1001_1964
1860 624 1545 914,359_332_155_581
956 76 1452,8_848_102
1983 154 1457 188,539_1058_1812_1381
239 577 978,1631_748_909
803 1889 576,1983_268_576
1078 829 790,1869_649_263
1448 1557 322,314_561_1378
262 1998 751,1294_1486_877
171 1920 295,962_1312_301
584 1317 1968,1211_150_564
773 431 739,637_629_1043
22 321 1818 307,1037_515_272_1601
904 1559 309,175_590_688
628 1580 539,645_778_706
1538 73 738 226 441,608_116_1949_319_82
236 145 929 389,1676_874_1598_141
175 1608 618,1793_845_1081
303 160 645,84_563_672
322 1557 1448,314_561_1378
1037 1861 663 672 118 504,131_722_224_461_742_720
907 1821 486 1259,1573_392_1407_142
7 68 1105,1197_1169_1410
656 1045 1338,79_1045_219
384 497 1187,1612_226_651
1143 508 869,1872_1760_1989
449 210 1778 747 888,873_785_500_531_1589
58 327 359 1125,643_1386_1240_577
353 1168 427,957_541_652
684 1682 125 10 938,1000_70_792_685_300
59 932 77 1236 1764,692_886_1537_1861_367
899 744 1023,1033_589_632
941 72 948 1694,1632_1714_1277_340
497 384 1187,1612_226_651
708 1916 1 1777 229,1429_174_295_426_939
632 486 1821,978_392_1407
1687 1183 1072,1825_1155_954
45 1675 243,732_1533_1980
18 1696 881,1540_310_775
697 1290 1999,18_351_1038
514 741 1399,1352_841_666
378 458 1838,132_679_1886
1163 397 1210,570_1046_1776
374 1582 1150,768_171_1583
875 1284 528 1023 1341,290_274_1434_632_494
66 416 1366,573_28_903
663 118 1029 672,131_722_224_720
1749 848 1841 1663 1228 1523,1062_59_798_1484_297_1064
68 7 1105,1197_1169_1410
571 9 1854 289,1293_23_35_1019
210 888 1200,873_785_500
788 436 1724,1659_518_213
1230 743 1299 492,1063_430_783_548
1571 854 710,69_369_341
328 302 548,975_698_176
1935 1144 414,648_1333_806
904 308 1559,175_590_688
1739 391 184,1430_650_718
657 260 1802 1607,1289_774_1948_979
480 25 1946,1041_612_216
1675 45 243,732_1533_1980
1319 115 1002 762 1048,1134_1993_1764_1110_1932
1739 184 391,1430_650_718
645 1993 160,84_506_672
10 938 125 684 1682,1000_70_792_685_300
157 1307 345,760_1021_711
996 1287 488,896_476_158
1843 1201 139,533_1834_1604
400 257 205,1089_905_1626
1278 655 303 13,1546_84_563_315
13 645 196,1992_84_672
549 741 1910,1352_486_1065
1841 306 848,522_59_297
1134 1902 322 1448 1557 1279,442_314_1317_353_561_1378
352 1034 330,1104_313_618
903 1515 518 1329 721 662 745,1354_296_92_172_1541_204_255
1874 604 1695 519,898_380_40_558
125 1587 684,456_70_792
803 1889 576,1983_268_576
1109 1037 504 625,1780_610_461_742
1422 969 947,1674_516_239
188 1457 154 1983,539_1058_1812_1381
215 680 883,1765_67_1193
924 122 895 912,519_94_490_1282
185 1525 250,307_654_20
1794 368 1195 1028 1772,1427_308_1987_1979_179
383 711 1971 813,1635_594_598_772
786 1229 498 107,1030_743_400_240
44 1515 1329 662 496 903,296_92_172_1541_204_255
1946 25 108,1366_612_216
1954 829 463,1505_649_263
816 1952 535,1027_321_881
412 1045 1338 656,805_79_1045_219
302 1057 328,1603_698_176
280 445 98,1177_2_527
1481 754 21 1773,825_867_1527_221
1039 1030 285 238,1706_414_635_1853
262 1998 751,1294_1486_877
507 1097 272,85_405_207
1023 744 899,1033_589_632
1048 1319 762 1002,1134_1993_1764_1110
1676 466 757,717_918_1985
594 482 1493,715_140_971
473 1924 565,1075_21_1699
807 1850 292,925_573_434
48 174 1605 380 1460 1746,1100_234_496_984_849_919
1472 1191 1806,1959_29_257
59 77 1236 1764 932,692_886_1537_1861_367
152 1223 475 179,230_614_1607_168
726 343 352,1090_313_105
1912 992 33,1147_236_355
680 215 1647,1765_67_1193
1710 1041 1123 674,1652_797_965_1217
384 497 1187,1612_226_651
213 1605 753 862 1746,520_496_984_849_399
1634 884 1398 660,1679_276_54_534
76 972 1452,8_848_102
535 816 1952,1027_321_881
1406 283 380 1839,520_496_1105_1945
383 711 813,1635_598_772
1317 1968 584,1211_150_564
321 1015 551,1037_165_641
1986 505 637 29,1911_235_1001_1964
653 190 161,1418_1736_280
1038 1989 1490 1539 225,1663_470_793_87_777
282 1948 897,124_1399_1439
49 863 94,956_1522_933
529 833 190 653 1538,1418_1736_719_82_280
516 843 232,694_283_429
1770 371 1826 781,1357_695_1882_1171
530 437 1286,1999_985_78
952 455 75,784_147_1329
803 1889 576,1983_268_576
848 1228 1841,1062_59_297
488 601 1287 1414,1988_294_476_158
1582 1686 223 1150 1563,768_982_173_171_1583
677 936 665,658_497_330
1112 1973 568 401,592_56_613_1435
252 298 1251 554 1962,1369_458_1957_504_318
1689 1916 649 88,1068_295_426_361
25 108 1074 1946,1366_612_216_501
401 146 568,592_56_670
1952 535 816,1027_321_881
172 685 499,336_870_36
674 853 1561,1652_907_1441
655 160 303 1278,1546_84_563_315
208 1489 804,281_495_382
376 413 960,1178_1967_1099
1443 1166 1577,1108_1094_1209
899 1023 744,1033_589_632
1202 615 1753,528_499_1167
247 66 1127,573_526_1669
1187 497 384,1612_226_651
1323 1271 733 1756,600_1526_1111_1584
1990 442 1094 1076,1060_669_109_394
1587 112 684,456_70_661
